Sat Nov 16 01:28:43 2024    profile_stats

         137885 function calls (129299 primitive calls) in 0.335 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      140    0.000    0.000    0.001    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\_distutils_hack\__init__.py:102(find_spec)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:989(create_module)
      460    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_twodim_base_impl.py:1(<module>)
      410    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      631    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_parser.py:261(get)
       10    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     1369    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      126    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       10    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\battle.py:637(get_attack_idx)
      356    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
  403/339    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1276(__hash__)
       39    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:361(_flatten_literal_params)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\datetime.py:1(<module>)
        2    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\teams.py:298(copy)
      619    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\teams.py:279(__getitem__)
      875    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      246    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       23    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\overrides.py:177(decorator)
      540    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\_type_aliases.py:1(<module>)
     1090    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\hashlib.py:1(<module>)
      410    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
 1021/957    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       76    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
      540    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\struct.py:1(<module>)
        5    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\battle.py:616(battle_phase_attack_before)
       10    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
     2088    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\lists.py:26(obj)
        4    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1841(__new__)
      311    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\function_base.py:473(_needs_add_docstring)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
       33    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_compiler.py:243(_optimize_charset)
      138    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
       77    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\pets.py:18(__init__)
       28    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\enum.py:1562(__and__)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       25    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\_add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
      710    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       14    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\hashlib.py:126(__get_openssl_constructor)
        4    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\lists.py:83(__init__)
     1090    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      300    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\status.py:1(apply_)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_distributor_init.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
      142    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      422    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_parser.py:168(__getitem__)
      140    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        7    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\teams.py:125(remove)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_typing\_nested_sequence.py:1(<module>)
       14    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_compiler.py:511(_compile_info)
      460    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_utils\_inspect.py:13(ismethod)
      464    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1583(__eq__)
      587    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1616(_value_and_type_iter)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\base64.py:1(<module>)
       81    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:979(_is_unpacked_typevartuple)
        2    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\enum.py:528(__new__)
       12    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
    347/1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\__config__.py:19(_cleanup)
     1411    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1264(<genexpr>)
        8    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\lists.py:124(slots)
       44    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:995(_typevar_subst)
      821    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      839    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      456    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      745    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_parser.py:240(__next)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      561    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       61    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\teams.py:282(__setitem__)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\numbers.py:1(<module>)
      343    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      493    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1270(__eq__)
      519    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\teams.py:351(pet)
      460    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_utils\_inspect.py:41(iscode)
      353    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:166(_type_convert)
      460    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_utils\_inspect.py:26(isfunction)
       77    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\pets.py:789(state)
       18    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\arrayprint.py:1675(_array_str_implementation)
      516    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      159    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\teams.py:1(<module>)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\_exceptions.py:1(<module>)
      178    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       36    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\getlimits.py:91(_float_to_float)
    66/26    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_parser.py:178(getwidth)
       10    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\teams.py:383(copy)
     1028    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\lists.py:120(slots)
      410    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\effects.py:641(ModifyStats)
      270    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\ctypes\_endian.py:1(<module>)
      102    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1311(<genexpr>)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\inspect.py:605(getmembers)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_histograms_impl.py:1(<module>)
       77    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
      330    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\inspect.py:563(_getmembers)
      150    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\pets.py:98(ability)
       18    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\arrayprint.py:540(wrapper)
       45    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:307(_unpack_args)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_stride_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\__init__.py:91(_delvewheel_patch_1_8_3)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\records.py:1(<module>)
        2    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\hashlib.py:82(__get_builtin_constructor)
      336    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      6/2    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\teams.py:91(move_backward)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\getlimits.py:1(<module>)
      524    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
    32/14    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      328    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1621(__eq__)
      414    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        2    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:2874(__new__)
    32/14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\player.py:1(<module>)
       84    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\enum.py:1544(_get_value)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\exceptions.py:1(<module>)
       77    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\lists.py:12(__init__)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\contextvars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_ufunclike_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\battle.py:1(<module>)
        4    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1985(__init_subclass__)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\_ufunc_config.py:465(inner)
      265    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\overrides.py:105(array_function_dispatch)
      336    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
      152    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_parser.py:176(append)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\threading.py:1439(__init__)
       13    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\enum.py:390(__setitem__)
        6    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\numeric.py:2706(extend_all)
       43    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_parser.py:312(_class_escape)
        8    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\lists.py:155(nslots)
      114    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\effects.py:102(get_target)
        5    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\battle.py:691(battle_phase_attack_after)
      160    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       76    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      130    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      364    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      269    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      261    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_parser.py:256(match)
      257    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\hmac.py:19(<genexpr>)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\_compat_pickle.py:1(<module>)
        8    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_parser.py:98(closegroup)
        4    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\warnings.py:184(_add_filter)
        6    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\teams.py:211(get_ahead)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\__init__.py:445(_sanity_check)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\mixins.py:61(NDArrayOperatorsMixin)
        5    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\enum.py:254(__set_name__)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_arraypad_impl.py:1(<module>)
       76    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_arraysetops_impl.py:132(_unpack_tuple)
      121    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\effects.py:88(get_teams)
      410    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       10    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\pets.py:778(copy)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\_datasource.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
      154    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\multiarray.py:363(where)
        2    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\enum.py:513(__prepare__)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\_ufunc_config.py:1(<module>)
      561    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:781(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method nt._path_isdir}
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\einsumfunc.py:1(<module>)
       33    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_compiler.py:216(_compile_charset)
       36    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\getlimits.py:24(_fr1)
       42    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\getlimits.py:101(_float_conv)
        5    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\battle.py:767(get_attack)
        2    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\battle.py:423(check_summon_triggers)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\threading.py:670(Barrier)
        4    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1860(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
       18    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\arrayprint.py:1668(_guarded_repr_or_str)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\memmap.py:1(<module>)
       84    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\battle.py:394(append_phase_list)
        6    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\battle.py:187(check_battle_result)
        1    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\battle.py:493(battle_phase_start)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_typing\_scalars.py:1(<module>)
       83    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_utils\__init__.py:27(decorator)
      106    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\_dtype_ctypes.py:1(<module>)
        2    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\ctypes\__init__.py:343(__init__)
        4    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1114(_generic_init_subclass)
        4    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\fromnumeric.py:3080(max)
      135    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_parser.py:164(__len__)
        6    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
       28    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\enum.py:726(__call__)
       11    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\teams.py:150(check_friend)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       43    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\inspect.py:372(isfunction)
      108    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_parser.py:293(tell)
       28    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_parser.py:449(_uniq)
        5    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\battle.py:721(battle_phase_knockout)
      379    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_globals.py:65(_CopyMode)
       11    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\teams.py:167(get_idx)
       50    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\_add_newdocs.py:6752(refer_to_array_attribute)
       83    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_utils\__init__.py:16(set_module)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\linalg\_linalg.py:43(EigResult)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\_string_helpers.py:1(<module>)
       13    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\lib\mixins.py:46(_numeric_methods)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:738(_make_union)
        4    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1740(_get_protocol_attrs)
       33    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        2    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\teams.py:228(get_behind)
       26    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_compiler.py:398(_simple)
        1    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\shop.py:96(Shop)
        9    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\overrides.py:23(set_array_function_like_doc)
        2    0.000    0.000    0.000    0.000 <frozen os>:717(__setitem__)
       54    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\typing.py:1079(<genexpr>)
      113    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        9    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\ctypes\__init__.py:265(_reset_cache)
       36    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\getlimits.py:16(_fr0)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
    17/13    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_compiler.py:436(_get_literal_prefix)
      179    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        7    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\re\_compiler.py:386(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 c:\Users\Kobo\sapai\sapai\rand.py:28(choice)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\threading.py:882(__init__)
        2    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\ctypes\__init__.py:73(CFUNCTYPE)
      257    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\hmac.py:20(<genexpr>)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\numeric.py:144(ones)
        1    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_array_api_info.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
        7    0.000    0.000    0.000    0.000 D:\miniconda3\envs\SAPAI\Lib\site-packages\numpy-2.1.3-py3.12-win-amd64.egg\numpy\_core\getlimits.py:692(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
